File,Entity,Label
The-Sustainable-Development-Goals-Report-2020.txt,the Development Goals,ORG
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,Health,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the beginning of June,DATE
The-Sustainable-Development-Goals-Report-2020.txt,United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,"400,000",CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,the start of this Decade of Action,DATE
The-Sustainable-Development-Goals-Report-2020.txt,half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,More than 1.6 billion,QUANTITY
The-Sustainable-Development-Goals-Report-2020.txt,tens of millions,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,recent years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,António Guterres,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the start of the Decade of Action,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,first,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,20 years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations Department of Economic,ORG
The-Sustainable-Development-Goals-Report-2020.txt,Social Affairs,ORG
The-Sustainable-Development-Goals-Report-2020.txt,200,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,40,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,13 to 32,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,up to,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,40 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,20 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,One third,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,decades,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Agenda for Sustainable Development,WORK_OF_ART
The-Sustainable-Development-Goals-Report-2020.txt,71 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,first,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1998,DATE
The-Sustainable-Development-Goals-Report-2020.txt,60 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,the first month,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1.6 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,one billion slum,QUANTITY
The-Sustainable-Development-Goals-Report-2020.txt,Central,ORG
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,September 2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,seventy-fifth,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,"the United
Disrupted",ORG
The-Sustainable-Development-Goals-Report-2020.txt,Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Agenda,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,hundreds of thousands,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,tens of thousands,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,solidarity,ORG
The-Sustainable-Development-Goals-Report-2020.txt,About 70,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,one,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,March,DATE
The-Sustainable-Development-Goals-Report-2020.txt,April 2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Millions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,tens of millions,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,"Liu Zhenmin
School",PERSON
The-Sustainable-Development-Goals-Report-2020.txt,90 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,over 370 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Economic and Social Affairs,ORG
The-Sustainable-Development-Goals-Report-2020.txt,3,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,at least half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,11,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,16,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,the first five years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2015,DATE
The-Sustainable-Development-Goals-Report-2020.txt,the coming decade,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2014,DATE
The-Sustainable-Development-Goals-Report-2020.txt,G6 G7 G8 G9,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,G14 G15 G16,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,the years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,monthly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,quarterly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the United Nations,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the World Bank,ORG
The-Sustainable-Development-Goals-Report-2020.txt,the Global SDG Indicators Database,ORG
The-Sustainable-Development-Goals-Report-2020.txt,122,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,17,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,less than half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,194,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,65 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,90 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,96 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,Goal 5,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Africa,LOC
The-Sustainable-Development-Goals-Report-2020.txt,only about 4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,97 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,88 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,Latin,LANGUAGE
The-Sustainable-Development-Goals-Report-2020.txt,12,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,13,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Caribbean,LOC
The-Sustainable-Development-Goals-Report-2020.txt,9,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,10,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Two,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,three,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,73,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,61 per cent,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,Guides,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,Goal,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,75%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,50% and,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,25%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,100,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,0p6,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p2,DATE
The-Sustainable-Development-Goals-Report-2020.txt,80,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p6,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,60,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,40,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Sustainable Development,ORG
The-Sustainable-Development-Goals-Report-2020.txt,Legend,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,1p0,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,20,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0p6,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Legend 0p6,PRODUCT
The-Sustainable-Development-Goals-Report-2020.txt,0p6,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,G6 G7 G8 G9,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,G14 G15 G16,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,ORG
The-Sustainable-Development-Goals-Report-2020.txt,Meet Produce,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,Produce,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,monthly,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Sub-Saharan Africa,ORG
The-Sustainable-Development-Goals-Report-2020.txt,"Western Asia
",LOC
The-Sustainable-Development-Goals-Report-2020.txt,Latin America,LOC
The-Sustainable-Development-Goals-Report-2020.txt,Caribbean,LOC
The-Sustainable-Development-Goals-Report-2020.txt,Europe,LOC
The-Sustainable-Development-Goals-Report-2020.txt,Northern America,LOC
The-Sustainable-Development-Goals-Report-2020.txt,Eastern,ORG
The-Sustainable-Development-Goals-Report-2020.txt,South-Eastern Asia,LOC
The-Sustainable-Development-Goals-Report-2020.txt,Cental,ORG
The-Sustainable-Development-Goals-Report-2020.txt,Southern Asia,LOC
The-Sustainable-Development-Goals-Report-2020.txt,0 50,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,One,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,SDG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,15.7%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"10%
8.2%
6%",PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2010 2015 2019 2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,first,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,decades,DATE
The-Sustainable-Development-Goals-Report-2020.txt,million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,$23.6 BILLION,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,63,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,21.3%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,144 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,6.9%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,47 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,22.4%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,25.9%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,5,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2014 2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,40%–85%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,"COVID-19
7 Overview
Ensure",ORG
The-Sustainable-Development-Goals-Report-2020.txt,70,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,decades,DATE
The-Sustainable-Development-Goals-Report-2020.txt,100%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,Hundreds of thousands,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Africa,LOC
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,less than half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,79%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,34%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,20%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,20%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,Over 200 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,500 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,90%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,years,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Only 65%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,9,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,25%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,36%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Lockdowns,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,PSYCHOLOGICAL,ORG
The-Sustainable-Development-Goals-Report-2020.txt,70%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,30%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,about three,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,as many hours,TIME
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020 10,DATE
The-Sustainable-Development-Goals-Report-2020.txt,billions,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Two,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,five,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2.2 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4.2 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,3 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,700 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2030,DATE
The-Sustainable-Development-Goals-Report-2020.txt,61%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,11,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,789 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,17%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,3%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,1,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,1.7%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,21.4,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,BILLION,ORG
The-Sustainable-Development-Goals-Report-2020.txt,12%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020 12,DATE
The-Sustainable-Development-Goals-Report-2020.txt,1.6 billion,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2.0%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,1.5%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2010–2018,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,the Great Depression 2020,EVENT
The-Sustainable-Development-Goals-Report-2020.txt,million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,4.2%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,400 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,second quarter,DATE
The-Sustainable-Development-Goals-Report-2020.txt,13,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,35%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2006–2018,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2010 2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,51%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,$1.4 trillion,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,January May 2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2010,DATE
The-Sustainable-Development-Goals-Report-2020.txt,$2.2 trillion,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,38,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,84,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Resource,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2010–2017,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,$420 $,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,Gini,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,0 to 100,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,0,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,100,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,one,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,54%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,Persons,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,15,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Only half,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,24%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,500–1000 meters,QUANTITY
The-Sustainable-Development-Goals-Report-2020.txt,4.2 million,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,90%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,47%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,400 metres,QUANTITY
The-Sustainable-Development-Goals-Report-2020.txt,400,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,The Sustainable Development Goals Report,ORG
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,38%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,"less than
20%",PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2010–2019,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2010 2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,73.2 billion 85.9 billion,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,2017,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,$318 $,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,427,MONEY
The-Sustainable-Development-Goals-Report-2020.txt,79,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,"the
billion billion",MONEY
The-Sustainable-Development-Goals-Report-2020.txt,European Union,ORG
The-Sustainable-Development-Goals-Report-2020.txt,at least one,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2015,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2018,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"Sustainable
Consumption and Production",ORG
The-Sustainable-Development-Goals-Report-2020.txt,13.8%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,17,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,Only 85,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2019,DATE
The-Sustainable-Development-Goals-Report-2020.txt,second,ORDINAL
The-Sustainable-Development-Goals-Report-2020.txt,year,DATE
The-Sustainable-Development-Goals-Report-2020.txt,up to 3.2,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,2100,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,COVID-19,PERSON
The-Sustainable-Development-Goals-Report-2020.txt,GHG,ORG
The-Sustainable-Development-Goals-Report-2020.txt,6%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,2020,DATE
The-Sustainable-Development-Goals-Report-2020.txt,2016,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"800
$781",MONEY
The-Sustainable-Development-Goals-Report-2020.txt,7.6%,PERCENT
The-Sustainable-Development-Goals-Report-2020.txt,annual,DATE
The-Sustainable-Development-Goals-Report-2020.txt,"600 billion $681
billion",MONEY
The-Sustainable-Development-Goals-Report-2020.txt,400,CARDINAL
The-Sustainable-Development-Goals-Report-2020.txt,200,CARDINAL
